rank,ticker,year,quarter,date,category,expected,predicted,confidence,actual,result,elapsed
1,ORCL,2026,1,2025-09-09,GAINER,UP,UP,0.8,+35.95%,CORRECT,395
2,IDXX,2025,2,2025-08-04,GAINER,UP,UP,0.7,+27.49%,CORRECT,418
3,NRG,2025,1,2025-05-12,GAINER,UP,UP,0.8,+26.21%,CORRECT,387
4,APP,2024,4,2025-02-12,GAINER,UP,UP,0.8,+24.02%,CORRECT,356
5,PLTR,2024,4,2025-02-03,GAINER,UP,UP,0.8,+23.99%,CORRECT,363
6,DAL,2025,1,2025-04-09,GAINER,UP,DOWN,0.3,+23.38%,WRONG,370
7,DDOG,2025,3,2025-11-06,GAINER,UP,UP,0.8,+23.13%,CORRECT,300
8,WST,2025,2,2025-07-24,GAINER,UP,UP,0.7,+22.78%,CORRECT,350
9,JBHT,2025,3,2025-10-15,GAINER,UP,NEUTRAL,0.6,+22.14%,SKIP,325
10,PODD,2025,1,2025-05-08,GAINER,UP,UP,0.7,+20.88%,CORRECT,293
11,CHRW,2025,3,2025-10-29,GAINER,UP,NEUTRAL,0.6,+19.71%,SKIP,272
12,GNRC,2025,2,2025-07-30,GAINER,UP,UP,0.7,+19.61%,CORRECT,358
13,STX,2025,4,2025-10-28,GAINER,UP,UP,0.7,+19.11%,CORRECT,401
14,CRL,2025,1,2025-05-07,GAINER,UP,NEUTRAL,0.6,+18.68%,SKIP,429
15,TTD,2025,1,2025-05-08,GAINER,UP,NEUTRAL,0.6,+18.60%,SKIP,365
16,EBAY,2025,3,2025-07-30,GAINER,UP,UP,0.7,+18.30%,CORRECT,351
17,CHRW,2025,2,2025-07-30,GAINER,UP,UP,0.7,+18.10%,CORRECT,359
18,IQV,2025,2,2025-07-22,GAINER,UP,NEUTRAL,0.6,+17.88%,SKIP,386
19,EXPE,2025,3,2025-11-06,GAINER,UP,UP,0.7,+17.55%,CORRECT,302
20,ANET,2025,2,2025-08-05,GAINER,UP,UP,0.8,+17.49%,CORRECT,339
21,MGM,2024,4,2025-02-12,GAINER,UP,NEUTRAL,0.6,+17.46%,SKIP,334
22,EXPE,2024,4,2025-02-06,GAINER,UP,NEUTRAL,0.4,+17.27%,SKIP,379
23,DHI,2025,3,2025-07-22,GAINER,UP,NEUTRAL,0.6,+16.98%,SKIP,413
24,AXON,2025,2,2025-08-04,GAINER,UP,UP,0.8,+16.41%,CORRECT,563
25,LW,2025,4,2025-07-23,GAINER,UP,DOWN,0.3,+16.31%,WRONG,372
26,DXCM,2025,1,2025-05-01,GAINER,UP,NEUTRAL,0.6,+16.17%,SKIP,395
27,DG,2025,1,2025-06-03,GAINER,UP,NEUTRAL,0.6,+15.85%,SKIP,375
28,NOW,2025,1,2025-04-23,GAINER,UP,UP,0.7,+15.49%,CORRECT,375
29,CAH,2026,1,2025-10-30,GAINER,UP,UP,0.8,+15.43%,CORRECT,347
