rank,symbol,year,quarter,earnings_date,category,session,predicted,confidence,confidence_normalized,csv_t30_change,t30_actual,hit_result,status,elapsed_seconds,from_date,to_date,from_close,to_close,tag_financials,tag_past,tag_peers,main_summary,notes_financials,notes_past,notes_peers,raw_output,error
1,AEP,2024,2,2024-07-30,RANDOM,AMC,N/A,0.0,0.0,,,ERROR,exception,0.0,,,,,N/A,N/A,N/A,,,,,,analyze_earnings_async() got an unexpected keyword argument 'session'
2,IEX,2025,1,2025-05-02,RANDOM,AMC,N/A,0.0,0.0,,,ERROR,exception,0.0,,,,,N/A,N/A,N/A,,,,,,analyze_earnings_async() got an unexpected keyword argument 'session'
3,GPC,2023,4,2024-02-15,RANDOM,AMC,N/A,0.0,0.0,,,ERROR,exception,0.0,,,,,N/A,N/A,N/A,,,,,,analyze_earnings_async() got an unexpected keyword argument 'session'
4,UBER,2023,2,2023-08-01,RANDOM,AMC,N/A,0.0,0.0,,,ERROR,exception,0.0,,,,,N/A,N/A,N/A,,,,,,analyze_earnings_async() got an unexpected keyword argument 'session'
5,AWK,2022,4,2023-02-16,RANDOM,AMC,N/A,0.0,0.0,,,ERROR,exception,0.0,,,,,N/A,N/A,N/A,,,,,,analyze_earnings_async() got an unexpected keyword argument 'session'
6,FAST,2024,3,2024-10-11,RANDOM,AMC,N/A,0.0,0.0,,,ERROR,exception,0.0,,,,,N/A,N/A,N/A,,,,,,analyze_earnings_async() got an unexpected keyword argument 'session'
7,C,2023,4,2024-01-16,RANDOM,AMC,N/A,0.0,0.0,,,ERROR,exception,0.0,,,,,N/A,N/A,N/A,,,,,,analyze_earnings_async() got an unexpected keyword argument 'session'
8,CRM,2023,3,2022-12-01,RANDOM,AMC,N/A,0.0,0.0,,,ERROR,exception,0.0,,,,,N/A,N/A,N/A,,,,,,analyze_earnings_async() got an unexpected keyword argument 'session'
9,VRSK,2021,1,2021-05-05,RANDOM,AMC,N/A,0.0,0.0,,,ERROR,exception,0.0,,,,,N/A,N/A,N/A,,,,,,analyze_earnings_async() got an unexpected keyword argument 'session'
10,SRE,2023,3,2023-11-03,RANDOM,AMC,N/A,0.0,0.0,,,ERROR,exception,0.0,,,,,N/A,N/A,N/A,,,,,,analyze_earnings_async() got an unexpected keyword argument 'session'
11,MDT,2020,2,2019-11-19,RANDOM,AMC,N/A,0.0,0.0,,,ERROR,exception,0.0,,,,,N/A,N/A,N/A,,,,,,analyze_earnings_async() got an unexpected keyword argument 'session'
12,LYB,2024,3,2024-11-01,RANDOM,AMC,N/A,0.0,0.0,,,ERROR,exception,0.0,,,,,N/A,N/A,N/A,,,,,,analyze_earnings_async() got an unexpected keyword argument 'session'
13,GPN,2021,4,2022-02-10,RANDOM,AMC,N/A,0.0,0.0,,,ERROR,exception,0.0,,,,,N/A,N/A,N/A,,,,,,analyze_earnings_async() got an unexpected keyword argument 'session'
14,FISV,2020,4,2021-02-10,RANDOM,AMC,N/A,0.0,0.0,,,ERROR,exception,0.0,,,,,N/A,N/A,N/A,,,,,,analyze_earnings_async() got an unexpected keyword argument 'session'
15,TXN,2024,3,2024-10-22,RANDOM,AMC,N/A,0.0,0.0,,,ERROR,exception,0.0,,,,,N/A,N/A,N/A,,,,,,analyze_earnings_async() got an unexpected keyword argument 'session'
16,NI,2020,3,2020-11-02,RANDOM,AMC,N/A,0.0,0.0,,,ERROR,exception,0.0,,,,,N/A,N/A,N/A,,,,,,analyze_earnings_async() got an unexpected keyword argument 'session'
17,WSM,2022,1,2022-05-26,RANDOM,AMC,N/A,0.0,0.0,,,ERROR,exception,0.0,,,,,N/A,N/A,N/A,,,,,,analyze_earnings_async() got an unexpected keyword argument 'session'
18,JBL,2024,3,2024-06-20,RANDOM,AMC,N/A,0.0,0.0,,,ERROR,exception,0.0,,,,,N/A,N/A,N/A,,,,,,analyze_earnings_async() got an unexpected keyword argument 'session'
19,COO,2022,2,2022-06-03,RANDOM,AMC,N/A,0.0,0.0,,,ERROR,exception,0.0,,,,,N/A,N/A,N/A,,,,,,analyze_earnings_async() got an unexpected keyword argument 'session'
20,APTV,2025,2,2025-07-31,RANDOM,AMC,N/A,0.0,0.0,,,ERROR,exception,0.0,,,,,N/A,N/A,N/A,,,,,,analyze_earnings_async() got an unexpected keyword argument 'session'
21,REG,2020,3,2020-11-06,RANDOM,AMC,N/A,0.0,0.0,,,ERROR,exception,0.0,,,,,N/A,N/A,N/A,,,,,,analyze_earnings_async() got an unexpected keyword argument 'session'
22,NCLH,2022,2,2022-08-09,RANDOM,AMC,N/A,0.0,0.0,,,ERROR,exception,0.0,,,,,N/A,N/A,N/A,,,,,,analyze_earnings_async() got an unexpected keyword argument 'session'
23,MHK,2020,4,2021-02-12,RANDOM,AMC,N/A,0.0,0.0,,,ERROR,exception,0.0,,,,,N/A,N/A,N/A,,,,,,analyze_earnings_async() got an unexpected keyword argument 'session'
24,TEL,2020,4,2020-10-28,RANDOM,AMC,N/A,0.0,0.0,,,ERROR,exception,0.0,,,,,N/A,N/A,N/A,,,,,,analyze_earnings_async() got an unexpected keyword argument 'session'
25,DRI,2024,2,2023-12-15,RANDOM,AMC,N/A,0.0,0.0,,,ERROR,exception,0.0,,,,,N/A,N/A,N/A,,,,,,analyze_earnings_async() got an unexpected keyword argument 'session'
26,CDW,2020,4,2021-02-10,RANDOM,AMC,N/A,0.0,0.0,,,ERROR,exception,0.0,,,,,N/A,N/A,N/A,,,,,,analyze_earnings_async() got an unexpected keyword argument 'session'
27,DUK,2025,2,2025-08-05,RANDOM,AMC,N/A,0.0,0.0,,,ERROR,exception,0.0,,,,,N/A,N/A,N/A,,,,,,analyze_earnings_async() got an unexpected keyword argument 'session'
28,MDT,2021,3,2021-02-23,RANDOM,AMC,N/A,0.0,0.0,,,ERROR,exception,0.0,,,,,N/A,N/A,N/A,,,,,,analyze_earnings_async() got an unexpected keyword argument 'session'
29,WST,2025,1,2025-04-24,RANDOM,AMC,N/A,0.0,0.0,,,ERROR,exception,0.0,,,,,N/A,N/A,N/A,,,,,,analyze_earnings_async() got an unexpected keyword argument 'session'
30,ERIE,2020,2,2020-08-03,RANDOM,AMC,N/A,0.0,0.0,,,ERROR,exception,0.0,,,,,N/A,N/A,N/A,,,,,,analyze_earnings_async() got an unexpected keyword argument 'session'
31,MSCI,2022,2,2022-07-26,RANDOM,AMC,N/A,0.0,0.0,,,ERROR,exception,0.0,,,,,N/A,N/A,N/A,,,,,,analyze_earnings_async() got an unexpected keyword argument 'session'
32,MGM,2022,3,2022-11-03,RANDOM,AMC,N/A,0.0,0.0,,,ERROR,exception,0.0,,,,,N/A,N/A,N/A,,,,,,analyze_earnings_async() got an unexpected keyword argument 'session'
33,ROST,2020,2,2020-08-20,RANDOM,AMC,N/A,0.0,0.0,,,ERROR,exception,0.0,,,,,N/A,N/A,N/A,,,,,,analyze_earnings_async() got an unexpected keyword argument 'session'
34,CDW,2023,2,2023-08-02,RANDOM,AMC,N/A,0.0,0.0,,,ERROR,exception,0.0,,,,,N/A,N/A,N/A,,,,,,analyze_earnings_async() got an unexpected keyword argument 'session'
35,LHX,2020,2,2020-07-31,RANDOM,AMC,N/A,0.0,0.0,,,ERROR,exception,0.0,,,,,N/A,N/A,N/A,,,,,,analyze_earnings_async() got an unexpected keyword argument 'session'
36,CTRA,2021,3,2021-11-03,RANDOM,AMC,N/A,0.0,0.0,,,ERROR,exception,0.0,,,,,N/A,N/A,N/A,,,,,,analyze_earnings_async() got an unexpected keyword argument 'session'
37,DUK,2020,2,2020-08-10,RANDOM,AMC,N/A,0.0,0.0,,,ERROR,exception,0.0,,,,,N/A,N/A,N/A,,,,,,analyze_earnings_async() got an unexpected keyword argument 'session'
38,LW,2023,1,2022-10-05,RANDOM,AMC,N/A,0.0,0.0,,,ERROR,exception,0.0,,,,,N/A,N/A,N/A,,,,,,analyze_earnings_async() got an unexpected keyword argument 'session'
39,BRO,2022,3,2022-10-25,RANDOM,AMC,N/A,0.0,0.0,,,ERROR,exception,0.0,,,,,N/A,N/A,N/A,,,,,,analyze_earnings_async() got an unexpected keyword argument 'session'
40,LHX,2024,2,2024-07-26,RANDOM,AMC,N/A,0.0,0.0,,,ERROR,exception,0.0,,,,,N/A,N/A,N/A,,,,,,analyze_earnings_async() got an unexpected keyword argument 'session'
41,AXP,2021,3,2021-10-22,RANDOM,AMC,N/A,0.0,0.0,,,ERROR,exception,0.0,,,,,N/A,N/A,N/A,,,,,,analyze_earnings_async() got an unexpected keyword argument 'session'
42,DHI,2020,4,2020-11-10,RANDOM,AMC,N/A,0.0,0.0,,,ERROR,exception,0.0,,,,,N/A,N/A,N/A,,,,,,analyze_earnings_async() got an unexpected keyword argument 'session'
43,NEE,2020,1,2020-04-22,RANDOM,AMC,N/A,0.0,0.0,,,ERROR,exception,0.0,,,,,N/A,N/A,N/A,,,,,,analyze_earnings_async() got an unexpected keyword argument 'session'
44,GS,2020,2,2020-07-15,RANDOM,AMC,N/A,0.0,0.0,,,ERROR,exception,0.0,,,,,N/A,N/A,N/A,,,,,,analyze_earnings_async() got an unexpected keyword argument 'session'
45,SNA,2025,1,2025-04-17,RANDOM,AMC,N/A,0.0,0.0,,,ERROR,exception,0.0,,,,,N/A,N/A,N/A,,,,,,analyze_earnings_async() got an unexpected keyword argument 'session'
46,CAH,2020,3,2020-05-11,RANDOM,AMC,N/A,0.0,0.0,,,ERROR,exception,0.0,,,,,N/A,N/A,N/A,,,,,,analyze_earnings_async() got an unexpected keyword argument 'session'
47,AZO,2023,1,2022-12-06,RANDOM,AMC,N/A,0.0,0.0,,,ERROR,exception,0.0,,,,,N/A,N/A,N/A,,,,,,analyze_earnings_async() got an unexpected keyword argument 'session'
48,INTU,2020,3,2020-05-26,RANDOM,AMC,N/A,0.0,0.0,,,ERROR,exception,0.0,,,,,N/A,N/A,N/A,,,,,,analyze_earnings_async() got an unexpected keyword argument 'session'
49,ABNB,2020,4,2021-02-26,RANDOM,AMC,N/A,0.0,0.0,,,ERROR,exception,0.0,,,,,N/A,N/A,N/A,,,,,,analyze_earnings_async() got an unexpected keyword argument 'session'
50,ZBRA,2021,2,2021-08-03,RANDOM,AMC,N/A,0.0,0.0,,,ERROR,exception,0.0,,,,,N/A,N/A,N/A,,,,,,analyze_earnings_async() got an unexpected keyword argument 'session'
51,ERIE,2023,4,2024-02-27,RANDOM,AMC,N/A,0.0,0.0,,,ERROR,exception,0.0,,,,,N/A,N/A,N/A,,,,,,analyze_earnings_async() got an unexpected keyword argument 'session'
52,APD,2021,3,2021-08-09,RANDOM,AMC,N/A,0.0,0.0,,,ERROR,exception,0.0,,,,,N/A,N/A,N/A,,,,,,analyze_earnings_async() got an unexpected keyword argument 'session'
53,WELL,2021,3,2021-11-05,RANDOM,AMC,N/A,0.0,0.0,,,ERROR,exception,0.0,,,,,N/A,N/A,N/A,,,,,,analyze_earnings_async() got an unexpected keyword argument 'session'
54,PSA,2025,1,2025-05-01,RANDOM,AMC,N/A,0.0,0.0,,,ERROR,exception,0.0,,,,,N/A,N/A,N/A,,,,,,analyze_earnings_async() got an unexpected keyword argument 'session'
55,AWK,2020,3,2020-11-05,RANDOM,AMC,N/A,0.0,0.0,,,ERROR,exception,0.0,,,,,N/A,N/A,N/A,,,,,,analyze_earnings_async() got an unexpected keyword argument 'session'
56,IDXX,2021,2,2021-07-30,RANDOM,AMC,N/A,0.0,0.0,,,ERROR,exception,0.0,,,,,N/A,N/A,N/A,,,,,,analyze_earnings_async() got an unexpected keyword argument 'session'
57,CTAS,2023,1,2022-09-28,RANDOM,AMC,N/A,0.0,0.0,,,ERROR,exception,0.0,,,,,N/A,N/A,N/A,,,,,,analyze_earnings_async() got an unexpected keyword argument 'session'
58,TRGP,2023,1,2023-05-04,RANDOM,AMC,N/A,0.0,0.0,,,ERROR,exception,0.0,,,,,N/A,N/A,N/A,,,,,,analyze_earnings_async() got an unexpected keyword argument 'session'
59,AMD,2020,1,2019-07-25,RANDOM,AMC,N/A,0.0,0.0,,,ERROR,exception,0.0,,,,,N/A,N/A,N/A,,,,,,analyze_earnings_async() got an unexpected keyword argument 'session'
60,AFL,2022,4,2023-02-02,RANDOM,AMC,N/A,0.0,0.0,,,ERROR,exception,0.0,,,,,N/A,N/A,N/A,,,,,,analyze_earnings_async() got an unexpected keyword argument 'session'
61,PLD,2024,1,2024-04-17,RANDOM,AMC,N/A,0.0,0.0,,,ERROR,exception,0.0,,,,,N/A,N/A,N/A,,,,,,analyze_earnings_async() got an unexpected keyword argument 'session'
62,FAST,2023,3,2023-10-12,RANDOM,AMC,N/A,0.0,0.0,,,ERROR,exception,0.0,,,,,N/A,N/A,N/A,,,,,,analyze_earnings_async() got an unexpected keyword argument 'session'
63,MRNA,2025,1,2025-05-01,RANDOM,AMC,N/A,0.0,0.0,,,ERROR,exception,0.0,,,,,N/A,N/A,N/A,,,,,,analyze_earnings_async() got an unexpected keyword argument 'session'
64,NOW,2021,1,2021-04-30,RANDOM,AMC,N/A,0.0,0.0,,,ERROR,exception,0.0,,,,,N/A,N/A,N/A,,,,,,analyze_earnings_async() got an unexpected keyword argument 'session'
