rank,symbol,year,quarter,earnings_date,category,session,predicted,confidence,t30_change,db_t30_change,hit_result,status,base_date,base_price,t30_date,t30_price
3,APP,2024,2,2024-08-07,GAINER,AMC,UP,0.8,64.33,87.6619,HIT,success,2024-08-08,76.73,2024-09-20,126.09
9,STX,2025,3,2025-04-29,GAINER,AMC,UP,0.8,38.49,54.4975,HIT,success,2025-04-30,91.03,2025-06-12,126.07
8,APP,2025,2,2025-08-06,GAINER,AMC,UP,0.8,48.53,66.3185,HIT,success,2025-08-07,437.34,2025-09-19,649.59
2,APP,2024,3,2024-11-06,GAINER,AMC,UP,0.9,38.32,102.3079,HIT,success,2024-11-07,246.53,2024-12-20,340.99
11,WBD,2025,2,2025-08-07,GAINER,BMO,NEUTRAL,0.6,62.98,51.1337,SKIP,success,2025-08-07,11.86,2025-09-19,19.33
7,COIN,2025,1,2025-05-08,GAINER,AMC,NEUTRAL,0.6,73.0,66.9831,SKIP,success,2025-05-09,199.32,2025-06-24,344.82
12,PLTR,2024,2,2024-08-05,GAINER,AMC,UP,0.8,36.82,51.017,HIT,success,2024-08-06,26.59,2024-09-18,36.38
5,PLTR,2024,3,2024-11-04,GAINER,AMC,UP,0.8,39.86,72.6878,HIT,success,2024-11-05,51.13,2024-12-18,71.51
4,TSLA,2024,3,2024-10-23,GAINER,AMC,UP,0.8,49.42,82.1765,HIT,success,2024-10-24,260.48,2024-12-06,389.22
1,SMCI,2024,2,2024-01-29,GAINER,AMC,UP,0.9,131.6,139.6813,HIT,success,2024-01-30,51.3,2024-03-13,118.81
6,HOOD,2023,4,2024-02-13,GAINER,AMC,UP,0.8,50.45,70.0169,HIT,success,2024-02-14,13.38,2024-03-28,20.13
14,GEV,2025,1,2025-04-23,GAINER,BMO,UP,0.8,44.1,48.5295,HIT,success,2025-04-23,336.09,2025-06-05,484.31
10,FSLR,2024,1,2024-05-01,GAINER,AMC,UP,0.7,51.58,54.077,HIT,success,2024-05-02,180.51,2024-06-14,273.61
13,UAL,2024,3,2024-10-16,GAINER,BMO,UP,0.8,33.78,50.4294,HIT,success,2024-10-16,72.02,2024-11-27,96.35
18,PLTR,2023,4,2024-02-05,GAINER,AMC,UP,0.8,12.35,46.9498,HIT,success,2024-02-06,21.87,2024-03-20,24.57
17,APP,2023,4,2024-02-14,GAINER,AMC,UP,0.8,18.19,47.5144,HIT,success,2024-02-15,58.5,2024-04-01,69.14
