idx,symbol,company_name,sector,year,quarter,t_day,session,base_date,base_price,t30_date,t30_price,t30_change,predicted,confidence,hit_result,status,elapsed_seconds,error
1,A,Agilent Technologies,Healthcare,2023,1,2023-02-28,UNKNOWN,2023-03-01,137.51,2023-04-13,141.28,2.74,UP,0.8,HIT,success,80.4,
2,AAPL,Apple Inc.,Technology,2023,1,2023-02-03,AMC,2023-02-06,151.73,2023-03-21,159.28,4.98,DOWN,0.3,MISS,success,86.3,
3,ABBV,AbbVie,Healthcare,2023,1,2023-04-27,BMO,2023-04-27,148.87,2023-06-09,138.18,-7.18,UP,0.8,MISS,success,97.3,
4,ABNB,Airbnb,Consumer Cyclical,2023,1,2023-05-10,AMC,2023-05-11,111.2,2023-06-26,123.13,10.73,DOWN,0.3,MISS,success,84.3,
5,ABT,Abbott Laboratories,Healthcare,2023,1,2023-04-18,BMO,2023-04-18,104.15,2023-05-31,102.0,-2.06,UP,0.8,MISS,success,104.8,
6,ACGL,Arch Capital Group,Financial Services,2023,1,2023-04-27,BMO,2023-04-27,73.88,2023-06-09,71.44,-3.3,UP,0.9,MISS,success,80.2,
7,ACN,Accenture,Technology,2023,1,2022-12-16,BMO,2022-12-16,264.48,2023-02-01,283.6,7.23,UP,0.7,HIT,success,93.2,
8,ADBE,Adobe Inc.,Technology,2023,1,2023-03-16,AMC,2023-03-17,358.14,2023-05-01,374.15,4.47,UP,0.8,HIT,success,78.0,
9,ADI,Analog Devices,Technology,2023,1,2023-02-15,BMO,2023-02-15,196.18,2023-03-30,194.21,-1.0,UP,0.7,MISS,success,82.7,
10,ADM,Archer Daniels Midland,Consumer Defensive,2023,1,2023-04-25,BMO,2023-04-25,75.9,2023-06-07,73.36,-3.35,UP,0.7,MISS,success,81.7,
11,ADP,Automatic Data Processing,Industrials,2023,1,2022-10-26,BMO,2022-10-26,235.14,2022-12-08,260.05,10.59,UP,0.8,HIT,success,98.1,
12,ADSK,Autodesk,Technology,2023,1,2022-05-27,AMC,2022-05-31,207.75,2022-07-14,170.96,-17.71,UP,0.8,MISS,success,88.6,
13,AEE,Ameren,Utilities,2023,1,2023-05-05,BMO,2023-05-05,90.47,2023-06-20,82.88,-8.39,NEUTRAL,0.6,SKIP,success,85.4,
14,AEP,American Electric Power,Utilities,2023,1,2023-05-04,BMO,2023-05-04,91.44,2023-06-16,84.93,-7.12,NEUTRAL,0.6,SKIP,success,146.4,
15,AES,AES Corporation,Utilities,2023,1,2023-05-05,BMO,2023-05-05,22.67,2023-06-20,21.01,-7.32,UP,0.7,MISS,success,83.7,
16,AFL,Aflac,Financial Services,2023,1,2023-04-27,BMO,2023-04-27,69.47,2023-06-09,68.97,-0.72,UP,0.7,MISS,success,68.7,
17,AIG,American International Group,Financial Services,2023,1,2023-05-05,BMO,2023-05-05,53.79,2023-06-20,56.08,4.26,UP,0.8,HIT,success,82.1,
18,AIZ,Assurant,Financial Services,2023,1,2023-05-03,BMO,2023-05-03,132.03,2023-06-15,128.75,-2.48,NEUTRAL,0.6,SKIP,success,78.1,
19,AJG,Arthur J. Gallagher & Co.,Financial Services,2023,1,2023-04-28,AMC,2023-05-01,210.52,2023-06-13,208.76,-0.84,UP,0.8,MISS,success,76.7,
20,AKAM,Akamai Technologies,Technology,2023,1,2023-05-10,AMC,2023-05-11,85.92,2023-06-26,88.45,2.94,UP,0.8,HIT,success,82.0,
21,ALB,Albemarle Corporation,Basic Materials,2023,1,2023-05-04,UNKNOWN,2023-05-05,179.7,2023-06-20,232.22,29.23,DOWN,0.3,MISS,success,90.8,
22,ALGN,Align Technology,Healthcare,2023,1,2023-04-27,AMC,2023-04-28,325.3,2023-06-12,311.29,-4.31,UP,0.7,MISS,success,77.9,
23,ALL,Allstate,Financial Services,2023,1,2023-05-04,BMO,2023-05-04,114.02,2023-06-16,111.17,-2.5,DOWN,0.2,HIT,success,76.9,
24,ALLE,Allegion,Industrials,2023,1,2023-04-26,BMO,2023-04-26,107.49,2023-06-08,113.1,5.22,UP,0.8,HIT,success,79.9,
25,AMAT,Applied Materials,Technology,2023,1,2023-02-17,AMC,2023-02-21,111.28,2023-04-04,120.12,7.94,UP,0.8,HIT,success,97.2,
26,AMCR,Amcor,Consumer Cyclical,2023,1,2022-11-02,AMC,2022-11-03,10.77,2022-12-16,12.08,12.16,UP,0.7,HIT,success,95.6,
27,AMD,Advanced Micro Devices,Technology,2023,1,2023-05-03,AMC,2023-05-04,86.61,2023-06-16,120.08,38.64,UP,0.7,HIT,success,79.1,
28,AME,Ametek,Industrials,2023,1,2023-05-02,BMO,2023-05-02,145.6,2023-06-14,153.6,5.49,UP,0.8,HIT,success,88.9,
29,AMGN,Amgen,Healthcare,2023,1,2023-04-28,AMC,2023-05-01,238.9,2023-06-13,221.99,-7.08,UP,0.7,MISS,success,123.3,
30,AMP,Ameriprise Financial,Financial Services,2023,1,2023-04-25,BMO,2023-04-25,290.01,2023-06-07,317.14,9.35,UP,0.8,HIT,success,87.3,
31,AMT,American Tower,Real Estate,2023,1,2023-04-26,BMO,2023-04-26,200.34,2023-06-08,190.02,-5.15,UP,0.7,MISS,success,80.8,
32,AMZN,Amazon,Consumer Cyclical,2023,1,2023-04-27,UNKNOWN,2023-04-28,105.45,2023-06-12,126.57,20.03,UP,0.7,HIT,success,72.7,
33,ANET,Arista Networks,Technology,2023,1,2023-05-02,AMC,2023-05-03,33.18,2023-06-15,40.87,23.18,UP,0.8,HIT,success,99.9,
34,AON,Aon,Financial Services,2023,1,2023-04-28,BMO,2023-04-28,325.18,2023-06-12,318.06,-2.19,UP,0.7,MISS,success,70.5,
35,AOS,A. O. Smith,Industrials,2023,1,2023-04-27,BMO,2023-04-27,68.56,2023-06-09,68.79,0.34,UP,0.8,HIT,success,72.9,
36,APA,APA Corporation,Energy,2023,1,2023-05-04,BMO,2023-05-04,32.26,2023-06-16,34.38,6.57,NEUTRAL,0.6,SKIP,success,96.2,
37,APD,Air Products,Basic Materials,2023,1,2023-02-02,BMO,2023-02-02,295.5,2023-03-17,274.74,-7.03,UP,0.7,MISS,success,103.7,
38,APH,Amphenol,Technology,2023,1,2023-04-26,UNKNOWN,2023-04-27,37.4,2023-06-09,39.12,4.6,DOWN,0.3,MISS,success,108.8,
