symbol,company_name,sector,year,quarter,t_day,session,base_date,base_price,t30_date,t30_price,t30_change,predicted,confidence,hit_result,status,elapsed_seconds,error
A,Agilent Technologies,Healthcare,2023,1,2023-02-28,UNKNOWN,2023-03-01,137.51,2023-04-13,141.28,2.74,UP,0.8,HIT,success,80.4,
AAPL,Apple Inc.,Technology,2023,1,2023-02-03,AMC,2023-02-06,151.73,2023-03-21,159.28,4.98,DOWN,0.3,MISS,success,86.3,
ABBV,AbbVie,Healthcare,2023,1,2023-04-27,BMO,2023-04-27,148.87,2023-06-09,138.18,-7.18,UP,0.8,MISS,success,97.3,
ABNB,Airbnb,Consumer Cyclical,2023,1,2023-05-10,AMC,2023-05-11,111.2,2023-06-26,123.13,10.73,DOWN,0.3,MISS,success,84.3,
ABT,Abbott Laboratories,Healthcare,2023,1,2023-04-18,BMO,2023-04-18,104.15,2023-05-31,102.0,-2.06,UP,0.8,MISS,success,104.8,
ACGL,Arch Capital Group,Financial Services,2023,1,2023-04-27,BMO,2023-04-27,73.88,2023-06-09,71.44,-3.3,UP,0.9,MISS,success,80.2,
ACN,Accenture,Technology,2023,1,2022-12-16,BMO,2022-12-16,264.48,2023-02-01,283.6,7.23,UP,0.7,HIT,success,93.2,
ADBE,Adobe Inc.,Technology,2023,1,2023-03-16,AMC,2023-03-17,358.14,2023-05-01,374.15,4.47,UP,0.8,HIT,success,78.0,
ADI,Analog Devices,Technology,2023,1,2023-02-15,BMO,2023-02-15,196.18,2023-03-30,194.21,-1.0,UP,0.7,MISS,success,82.7,
ADM,Archer Daniels Midland,Consumer Defensive,2023,1,2023-04-25,BMO,2023-04-25,75.9,2023-06-07,73.36,-3.35,UP,0.7,MISS,success,81.7,
ADP,Automatic Data Processing,Industrials,2023,1,2022-10-26,BMO,2022-10-26,235.14,2022-12-08,260.05,10.59,UP,0.8,HIT,success,98.1,
ADSK,Autodesk,Technology,2023,1,2022-05-27,AMC,2022-05-31,207.75,2022-07-14,170.96,-17.71,UP,0.8,MISS,success,88.6,
AEE,Ameren,Utilities,2023,1,2023-05-05,BMO,2023-05-05,90.47,2023-06-20,82.88,-8.39,NEUTRAL,0.6,SKIP,success,85.4,
AEP,American Electric Power,Utilities,2023,1,2023-05-04,BMO,2023-05-04,91.44,2023-06-16,84.93,-7.12,NEUTRAL,0.6,SKIP,success,146.4,
AES,AES Corporation,Utilities,2023,1,2023-05-05,BMO,2023-05-05,22.67,2023-06-20,21.01,-7.32,UP,0.7,MISS,success,83.7,
AFL,Aflac,Financial Services,2023,1,2023-04-27,BMO,2023-04-27,69.47,2023-06-09,68.97,-0.72,UP,0.7,MISS,success,68.7,
AIG,American International Group,Financial Services,2023,1,2023-05-05,BMO,2023-05-05,53.79,2023-06-20,56.08,4.26,UP,0.8,HIT,success,82.1,
AIZ,Assurant,Financial Services,2023,1,2023-05-03,BMO,2023-05-03,132.03,2023-06-15,128.75,-2.48,NEUTRAL,0.6,SKIP,success,78.1,
AJG,Arthur J. Gallagher & Co.,Financial Services,2023,1,2023-04-28,AMC,2023-05-01,210.52,2023-06-13,208.76,-0.84,UP,0.8,MISS,success,76.7,
AKAM,Akamai Technologies,Technology,2023,1,2023-05-10,AMC,2023-05-11,85.92,2023-06-26,88.45,2.94,UP,0.8,HIT,success,82.0,
ALB,Albemarle Corporation,Basic Materials,2023,1,2023-05-04,UNKNOWN,2023-05-05,179.7,2023-06-20,232.22,29.23,DOWN,0.3,MISS,success,90.8,
ALGN,Align Technology,Healthcare,2023,1,2023-04-27,AMC,2023-04-28,325.3,2023-06-12,311.29,-4.31,UP,0.7,MISS,success,77.9,
ALL,Allstate,Financial Services,2023,1,2023-05-04,BMO,2023-05-04,114.02,2023-06-16,111.17,-2.5,DOWN,0.2,HIT,success,76.9,
ALLE,Allegion,Industrials,2023,1,2023-04-26,BMO,2023-04-26,107.49,2023-06-08,113.1,5.22,UP,0.8,HIT,success,79.9,
AMAT,Applied Materials,Technology,2023,1,2023-02-17,AMC,2023-02-21,111.28,2023-04-04,120.12,7.94,UP,0.8,HIT,success,97.2,
AMCR,Amcor,Consumer Cyclical,2023,1,2022-11-02,AMC,2022-11-03,10.77,2022-12-16,12.08,12.16,UP,0.7,HIT,success,95.6,
AMD,Advanced Micro Devices,Technology,2023,1,2023-05-03,AMC,2023-05-04,86.61,2023-06-16,120.08,38.64,UP,0.7,HIT,success,79.1,
AME,Ametek,Industrials,2023,1,2023-05-02,BMO,2023-05-02,145.6,2023-06-14,153.6,5.49,UP,0.8,HIT,success,88.9,
AMGN,Amgen,Healthcare,2023,1,2023-04-28,AMC,2023-05-01,238.9,2023-06-13,221.99,-7.08,UP,0.7,MISS,success,123.3,
AMP,Ameriprise Financial,Financial Services,2023,1,2023-04-25,BMO,2023-04-25,290.01,2023-06-07,317.14,9.35,UP,0.8,HIT,success,87.3,
AMT,American Tower,Real Estate,2023,1,2023-04-26,BMO,2023-04-26,200.34,2023-06-08,190.02,-5.15,UP,0.7,MISS,success,80.8,
AMZN,Amazon,Consumer Cyclical,2023,1,2023-04-27,UNKNOWN,2023-04-28,105.45,2023-06-12,126.57,20.03,UP,0.7,HIT,success,72.7,
ANET,Arista Networks,Technology,2023,1,2023-05-02,AMC,2023-05-03,33.18,2023-06-15,40.87,23.18,UP,0.8,HIT,success,99.9,
AON,Aon,Financial Services,2023,1,2023-04-28,BMO,2023-04-28,325.18,2023-06-12,318.06,-2.19,UP,0.7,MISS,success,70.5,
AOS,A. O. Smith,Industrials,2023,1,2023-04-27,BMO,2023-04-27,68.56,2023-06-09,68.79,0.34,UP,0.8,HIT,success,72.9,
APA,APA Corporation,Energy,2023,1,2023-05-04,BMO,2023-05-04,32.26,2023-06-16,34.38,6.57,NEUTRAL,0.6,SKIP,success,96.2,
APD,Air Products,Basic Materials,2023,1,2023-02-02,BMO,2023-02-02,295.5,2023-03-17,274.74,-7.03,UP,0.7,MISS,success,103.7,
APH,Amphenol,Technology,2023,1,2023-04-26,UNKNOWN,2023-04-27,37.4,2023-06-09,39.12,4.6,DOWN,0.3,MISS,success,108.8,
APO,Apollo Global Management,Financial Services,2023,1,2023-05-09,BMO,2023-05-09,62.26,2023-06-22,74.87,20.25,UP,0.8,HIT,success,96.7,
APP,AppLovin Corporation,Technology,2023,1,2023-05-11,AMC,2023-05-12,21.51,2023-06-27,26.04,21.06,UP,0.8,HIT,success,92.1,
APTV,Aptiv,Consumer Cyclical,2023,1,2023-05-04,BMO,2023-05-04,92.05,2023-06-16,101.44,10.2,UP,0.8,HIT,success,690.9,
ARE,Alexandria Real Estate Equities,Real Estate,2023,1,2023-04-26,AMC,2023-04-27,122.72,2023-06-09,120.59,-1.74,UP,0.7,MISS,success,688.9,
ATO,Atmos Energy,Utilities,2023,1,2023-02-08,BMO,2023-02-08,116.45,2023-03-23,106.52,-8.53,UP,0.7,MISS,success,97.7,
AVB,AvalonBay Communities,Real Estate,2023,1,2023-04-27,BMO,2023-04-27,177.65,2023-06-09,188.31,6.0,UP,0.7,HIT,success,83.2,
AVGO,Broadcom,Technology,2023,1,2023-03-03,AMC,2023-03-06,63.29,2023-04-18,63.23,-0.09,UP,0.8,MISS,success,71.8,
AVY,Avery Dennison,Industrials,2023,1,2023-04-26,UNKNOWN,2023-04-27,169.46,2023-06-09,162.52,-4.1,DOWN,0.3,HIT,success,81.6,
AWK,American Water Works,Utilities,2023,1,2023-04-27,BMO,2023-04-27,148.46,2023-06-09,146.66,-1.21,UP,0.7,MISS,success,63.9,
AXON,Axon Enterprise,Industrials,2023,1,2023-05-10,BMO,2023-05-10,192.73,2023-06-23,188.71,-2.09,UP,0.8,MISS,success,670.1,
AXP,American Express,Financial Services,2023,1,2023-04-20,BMO,2023-04-20,163.28,2023-06-02,168.56,3.23,UP,0.8,HIT,success,89.0,
AZO,AutoZone,Consumer Cyclical,2023,1,2022-12-06,BMO,2022-12-06,2456.92,2023-01-20,2326.61,-5.3,UP,0.7,MISS,success,75.8,
BA,Boeing,Industrials,2023,1,2023-04-25,BMO,2023-04-25,202.19,2023-06-07,211.93,4.82,NEUTRAL,0.6,SKIP,success,682.9,
BAC,Bank of America,Financial Services,2023,1,2023-04-18,BMO,2023-04-18,30.56,2023-05-31,27.79,-9.06,UP,0.8,MISS,success,97.4,
BALL,Ball Corporation,Consumer Cyclical,2023,1,2023-05-04,BMO,2023-05-04,59.26,2023-06-16,58.43,-1.4,UP,0.7,MISS,success,82.6,
BAX,Baxter International,Healthcare,2023,1,2023-04-27,BMO,2023-04-27,46.8,2023-06-09,41.97,-10.32,NEUTRAL,0.6,SKIP,success,85.1,
BBY,Best Buy,Consumer Cyclical,2023,1,2022-05-24,BMO,2022-05-24,73.47,2022-07-08,71.17,-3.13,DOWN,0.2,HIT,success,94.7,
BDX,Becton Dickinson,Healthcare,2023,1,2023-02-02,BMO,2023-02-02,248.47,2023-03-17,235.58,-5.19,UP,0.8,MISS,success,93.8,
BEN,Franklin Resources,Financial Services,2023,1,2023-01-30,BMO,2023-01-30,31.26,2023-03-14,27.32,-12.6,NEUTRAL,0.6,SKIP,success,86.7,
BG,Bunge Global,Consumer Defensive,2023,1,2023-05-03,BMO,2023-05-03,90.79,2023-06-15,94.2,3.76,UP,0.7,HIT,success,118.5,
BIIB,Biogen,Healthcare,2023,1,2023-04-25,BMO,2023-04-25,282.41,2023-06-07,304.9,7.96,NEUTRAL,0.6,SKIP,success,107.9,
BK,BNY Mellon,Financial Services,2023,1,2023-04-18,BMO,2023-04-18,44.89,2023-05-31,40.2,-10.45,UP,0.7,MISS,success,82.3,
BKNG,Booking Holdings,Consumer Cyclical,2023,1,2023-05-05,AMC,2023-05-08,2639.47,2023-06-21,2643.8,0.16,UP,0.8,HIT,success,86.8,
BKR,Baker Hughes,Energy,2023,1,2023-04-19,BMO,2023-04-19,30.56,2023-06-01,28.61,-6.38,UP,0.7,MISS,success,104.1,
BLDR,Builders FirstSource,Industrials,2023,1,2023-05-03,BMO,2023-05-03,107.46,2023-06-15,123.01,14.47,UP,0.8,HIT,success,99.8,
BLK,BlackRock,Financial Services,2023,1,2023-04-14,BMO,2023-04-14,691.33,2023-05-26,672.3,-2.75,UP,0.7,MISS,success,81.9,
BMY,Bristol Myers Squibb,Healthcare,2023,1,2023-04-27,BMO,2023-04-27,67.61,2023-06-09,64.8,-4.16,NEUTRAL,0.6,SKIP,success,86.1,
BR,Broadridge Financial Solutions,Technology,2023,1,2022-11-02,BMO,2022-11-02,137.73,2022-12-15,134.96,-2.01,UP,0.7,MISS,success,101.5,
BRO,Brown & Brown,Financial Services,2023,1,2023-04-25,BMO,2023-04-25,63.01,2023-06-07,63.44,0.68,UP,0.8,HIT,success,111.9,
BSX,Boston Scientific,Healthcare,2023,1,2023-04-26,BMO,2023-04-26,51.1,2023-06-08,51.07,-0.06,UP,0.8,MISS,success,89.8,
BX,Blackstone Inc.,Financial Services,2023,1,2023-04-20,BMO,2023-04-20,91.94,2023-06-02,89.0,-3.2,UP,0.7,MISS,success,98.6,
BXP,"BXP, Inc.",Real Estate,2023,1,2023-04-26,BMO,2023-04-26,51.18,2023-06-08,53.88,5.28,UP,0.7,HIT,success,104.0,
C,Citigroup,Financial Services,2023,1,2023-04-14,BMO,2023-04-14,49.56,2023-05-26,44.6,-10.01,UP,0.7,MISS,success,97.6,
CAG,Conagra Brands,Consumer Defensive,2023,1,2022-10-06,BMO,2022-10-06,32.56,2022-11-17,34.94,7.31,UP,0.8,HIT,success,102.7,
CAH,Cardinal Health,Healthcare,2023,1,2022-11-04,BMO,2022-11-04,79.52,2022-12-19,79.34,-0.23,UP,0.7,MISS,success,81.9,
CARR,Carrier Global,Industrials,2023,1,2023-04-27,BMO,2023-04-27,41.46,2023-06-09,45.3,9.26,DOWN,0.3,MISS,success,80.1,
CAT,Caterpillar Inc.,Industrials,2023,1,2023-04-27,BMO,2023-04-27,214.33,2023-06-09,235.03,9.66,UP,0.8,HIT,success,93.9,
CB,Chubb Limited,Financial Services,2023,1,2023-04-26,BMO,2023-04-26,198.37,2023-06-08,191.6,-3.41,UP,0.8,MISS,success,90.3,
CBOE,Cboe Global Markets,Financial Services,2023,1,2023-05-05,BMO,2023-05-05,136.58,2023-06-20,136.88,0.22,UP,0.8,HIT,success,91.4,
CBRE,CBRE Group,Real Estate,2023,1,2023-04-27,BMO,2023-04-27,76.14,2023-06-09,78.94,3.68,UP,0.7,HIT,success,81.8,
CCI,Crown Castle,Real Estate,2023,1,2023-04-20,BMO,2023-04-20,126.93,2023-06-02,114.0,-10.19,DOWN,0.3,HIT,success,73.4,
CCL,Carnival,Consumer Cyclical,2023,1,2023-03-27,BMO,2023-03-27,8.79,2023-05-09,10.65,21.16,UP,0.8,HIT,success,82.8,
CDNS,Cadence Design Systems,Technology,2023,1,2023-04-25,AMC,2023-04-26,203.61,2023-06-08,228.08,12.02,UP,0.8,HIT,success,91.0,
CDW,CDW,Technology,2023,1,2023-05-03,BMO,2023-05-03,164.97,2023-06-15,178.2,8.02,DOWN,0.2,MISS,success,92.7,
CEG,Constellation Energy,Utilities,2023,1,2023-05-05,BMO,2023-05-05,79.49,2023-06-20,91.99,15.73,UP,0.8,HIT,success,91.8,
CF,CF Industries,Basic Materials,2023,1,2023-05-02,BMO,2023-05-02,74.06,2023-06-14,67.8,-8.45,NEUTRAL,0.6,SKIP,success,86.5,
CFG,Citizens Financial Group,Financial Services,2023,1,2023-04-19,BMO,2023-04-19,30.5,2023-06-01,26.39,-13.48,DOWN,0.3,HIT,success,103.2,
CHD,Church & Dwight,Consumer Defensive,2023,1,2023-04-27,BMO,2023-04-27,97.3,2023-06-09,94.1,-3.29,UP,0.8,MISS,success,95.7,
CHRW,C.H. Robinson,Industrials,2023,1,2023-04-27,AMC,2023-04-28,100.87,2023-06-12,90.32,-10.46,DOWN,0.2,HIT,success,88.5,
CHTR,Charter Communications,Communication Services,2023,1,2023-04-28,BMO,2023-04-28,368.7,2023-06-12,335.3,-9.06,NEUTRAL,0.6,SKIP,success,77.1,
CI,Cigna,Healthcare,2023,1,2023-05-05,BMO,2023-05-05,260.74,2023-06-20,270.05,3.57,UP,0.8,HIT,success,77.1,
CINF,Cincinnati Financial,Financial Services,2023,1,2023-04-28,UNKNOWN,2023-05-01,105.33,2023-06-13,102.92,-2.29,DOWN,0.3,HIT,success,99.1,
CL,Colgate-Palmolive,Consumer Defensive,2023,1,2023-04-28,BMO,2023-04-28,79.8,2023-06-12,75.72,-5.11,UP,0.8,MISS,success,111.7,
CLX,Clorox,Consumer Defensive,2023,1,2022-11-02,AMC,2022-11-03,138.23,2022-12-16,144.6,4.61,UP,0.7,HIT,success,81.0,
CMCSA,Comcast,Communication Services,2023,1,2023-04-27,BMO,2023-04-27,40.27,2023-06-09,40.23,-0.1,UP,0.7,MISS,success,74.0,
CME,CME Group,Financial Services,2023,1,2023-04-26,BMO,2023-04-26,184.93,2023-06-08,185.45,0.28,UP,0.8,HIT,success,69.0,
CMG,Chipotle Mexican Grill,Consumer Cyclical,2023,1,2023-04-26,AMC,2023-04-27,40.73,2023-06-09,40.81,0.2,UP,0.8,HIT,success,102.7,
CMI,Cummins,Industrials,2023,1,2023-05-02,BMO,2023-05-02,227.64,2023-06-14,234.31,2.93,UP,0.7,HIT,success,87.4,
CMS,CMS Energy,Utilities,2023,1,2023-04-27,BMO,2023-04-27,62.5,2023-06-09,60.69,-2.9,UP,0.7,MISS,success,89.7,
CNC,Centene Corporation,Healthcare,2023,1,2023-04-25,BMO,2023-04-25,69.29,2023-06-07,67.69,-2.31,DOWN,0.3,HIT,success,88.9,
CNP,CenterPoint Energy,Utilities,2023,1,2023-04-27,BMO,2023-04-27,30.82,2023-06-09,28.95,-6.07,UP,0.7,MISS,success,75.8,
COF,Capital One,Financial Services,2023,1,2023-04-28,AMC,2023-05-01,93.17,2023-06-13,113.65,21.98,DOWN,0.3,MISS,success,98.4,
COIN,Coinbase Global,Financial Services,2023,1,2023-05-05,AMC,2023-05-08,58.1,2023-06-21,58.1,0.0,UP,0.8,MISS,success,73.0,
COO,Cooper Companies (The),Healthcare,2023,1,2023-03-03,AMC,2023-03-06,86.5,2023-04-18,94.51,9.26,UP,0.8,HIT,success,80.6,
COP,ConocoPhillips,Energy,2023,1,2023-05-04,UNKNOWN,2023-05-05,100.37,2023-06-20,102.03,1.65,UP,0.7,HIT,success,78.4,
COR,Cencora,Healthcare,2023,1,2023-02-01,UNKNOWN,2023-02-02,158.47,2023-03-17,152.02,-4.07,UP,0.7,MISS,success,106.3,
COST,Costco,Consumer Defensive,2023,1,2022-12-09,AMC,2022-12-12,487.68,2023-01-26,498.3,2.18,NEUTRAL,0.6,SKIP,success,109.4,
CPAY,Corpay,Technology,2023,1,2023-05-04,AMC,2023-05-05,231.19,2023-06-20,242.48,4.88,UP,0.8,HIT,success,104.7,
CPB,Campbell Soup Company,Consumer Defensive,2023,1,2022-12-07,BMO,2022-12-07,56.18,2023-01-23,51.58,-8.19,UP,0.8,MISS,success,84.4,
CPRT,Copart,Consumer Cyclical,2023,1,2022-11-17,BMO,2022-11-17,32.07,2023-01-03,30.73,-4.18,DOWN,0.3,HIT,success,86.5,
CPT,Camden Property Trust,Real Estate,2023,1,2023-04-28,UNKNOWN,2023-05-01,111.27,2023-06-13,112.53,1.13,NEUTRAL,0.6,SKIP,success,73.4,
CRL,Charles River Laboratories,Healthcare,2023,1,2023-05-11,BMO,2023-05-11,195.75,2023-06-26,206.3,5.39,UP,0.7,HIT,success,100.9,
CRM,Salesforce,Technology,2023,1,2022-06-01,AMC,2022-06-02,188.4,2022-07-18,167.89,-10.89,UP,0.7,MISS,success,83.7,
CRWD,CrowdStrike,Technology,2023,1,2022-06-03,AMC,2022-06-06,168.97,2022-07-20,184.3,9.07,UP,0.8,HIT,success,83.6,
CSCO,Cisco,Technology,2023,1,2022-11-16,UNKNOWN,2022-11-17,46.59,2023-01-03,47.94,2.9,UP,0.8,HIT,success,83.1,
CSGP,CoStar Group,Real Estate,2023,1,2023-04-26,AMC,2023-04-27,77.17,2023-06-09,80.14,3.85,UP,0.7,HIT,success,83.3,
CSX,CSX Corporation,Industrials,2023,1,2023-04-21,AMC,2023-04-24,31.38,2023-06-06,31.94,1.78,UP,0.7,HIT,success,75.8,
CTAS,Cintas,Industrials,2023,1,2022-09-28,UNKNOWN,2022-09-29,97.39,2022-11-10,111.13,14.11,UP,0.8,HIT,success,75.5,
CTRA,Coterra,Energy,2023,1,2023-05-05,BMO,2023-05-05,25.09,2023-06-20,24.44,-2.59,UP,0.7,MISS,success,87.7,
CTSH,Cognizant,Technology,2023,1,2023-05-04,AMC,2023-05-05,63.29,2023-06-20,64.64,2.13,NEUTRAL,0.4,SKIP,success,75.7,
CTVA,Corteva,Basic Materials,2023,1,2023-05-04,BMO,2023-05-04,56.88,2023-06-16,57.23,0.62,UP,0.8,HIT,success,85.9,
CVS,CVS Health,Healthcare,2023,1,2023-05-03,BMO,2023-05-03,70.08,2023-06-15,69.5,-0.83,UP,0.7,MISS,success,87.3,
CVX,Chevron Corporation,Energy,2023,1,2023-04-28,BMO,2023-04-28,168.58,2023-06-12,157.33,-6.67,UP,0.7,MISS,success,82.0,
D,Dominion Energy,Utilities,2023,1,2023-05-05,BMO,2023-05-05,56.49,2023-06-20,53.17,-5.88,DOWN,0.3,HIT,success,88.1,
DAL,Delta Air Lines,Industrials,2023,1,2023-04-13,BMO,2023-04-13,33.37,2023-05-25,35.75,7.13,UP,0.8,HIT,success,86.2,
DASH,DoorDash,Communication Services,2023,1,2023-05-05,AMC,2023-05-08,66.77,2023-06-21,72.91,9.2,UP,0.8,HIT,success,64.6,
DAY,Dayforce,Technology,2023,1,2023-05-04,AMC,2023-05-05,56.7,2023-06-20,67.36,18.8,UP,0.8,HIT,success,106.7,
DD,DuPont,Basic Materials,2023,1,2023-05-02,BMO,2023-05-02,27.21,2023-06-14,29.26,7.53,DOWN,0.3,MISS,success,81.0,
DDOG,Datadog,Technology,2023,1,2023-05-04,BMO,2023-05-04,75.4,2023-06-16,95.75,26.99,DOWN,0.3,MISS,success,70.2,
DE,Deere & Company,Industrials,2023,1,2023-02-17,BMO,2023-02-17,433.31,2023-04-03,414.99,-4.23,UP,0.8,MISS,success,79.3,
DECK,Deckers Brands,Consumer Cyclical,2023,1,2022-07-29,AMC,2022-08-01,52.34,2022-09-13,55.61,6.25,UP,0.8,HIT,success,95.5,
DELL,Dell Technologies,Technology,2023,1,2022-05-27,AMC,2022-05-31,49.94,2022-07-14,42.7,-14.5,UP,0.8,MISS,success,76.2,
DG,Dollar General,Consumer Defensive,2023,1,2023-06-01,BMO,2023-06-01,161.86,2023-07-17,161.13,-0.45,DOWN,0.2,HIT,success,86.2,
DGX,Quest Diagnostics,Healthcare,2023,1,2023-04-27,BMO,2023-04-27,141.01,2023-06-09,134.55,-4.58,UP,0.7,MISS,success,86.7,
DHI,D. R. Horton,Consumer Cyclical,2023,1,2023-01-24,BMO,2023-01-24,97.0,2023-03-08,93.79,-3.31,DOWN,0.3,HIT,success,100.9,
DHR,Danaher Corporation,Healthcare,2023,1,2023-04-25,BMO,2023-04-25,205.64,2023-06-07,210.54,2.38,DOWN,0.3,MISS,success,85.3,
DIS,Walt Disney Company (The),Communication Services,2023,1,2023-02-09,AMC,2023-02-10,108.06,2023-03-27,95.62,-11.51,UP,0.7,MISS,success,99.3,
DLR,Digital Realty,Real Estate,2023,1,2023-04-28,AMC,2023-05-01,96.93,2023-06-13,104.98,8.3,UP,0.7,HIT,success,83.3,
