rank,symbol,earnings_date,time_of_day,from_date,to_date,from_close,to_close,pct_change
1,SMCI,2024-01-29,bmo,2024-01-29,2024-03-12,49.57,116.30,134.62%
2,COIN,2024-10-30,amc,2024-10-31,2024-12-13,179.25,310.58,73.27%
3,HOOD,2024-10-30,amc,2024-10-31,2024-12-13,23.49,40.20,71.14%
4,APP,2024-08-07,amc,2024-08-08,2024-09-20,76.73,126.09,64.33%
5,FSLR,2024-05-01,amc,2024-05-02,2024-06-14,180.51,273.61,51.58%
6,HOOD,2024-02-13,amc,2024-02-14,2024-03-28,13.38,20.13,50.45%
7,TSLA,2024-10-23,amc,2024-10-24,2024-12-06,260.48,389.22,49.42%
8,PLTR,2024-11-04,amc,2024-11-05,2024-12-18,51.13,71.51,39.86%
9,APP,2024-11-06,amc,2024-11-07,2024-12-20,246.53,340.99,38.32%
10,PLTR,2024-08-05,amc,2024-08-06,2024-09-18,26.59,36.38,36.82%
11,CCL,2024-09-30,amc,2024-10-01,2024-11-12,18.02,24.59,36.46%
12,VST,2024-08-08,bmo,2024-08-08,2024-09-20,79.08,107.88,36.42%
13,COIN,2024-02-15,amc,2024-02-16,2024-04-02,180.31,245.84,36.34%
14,VST,2024-02-28,bmo,2024-02-28,2024-04-11,53.02,72.00,35.80%
15,IP,2024-04-25,bmo,2024-04-25,2024-06-07,33.52,45.21,34.87%
16,UAL,2024-10-15,amc,2024-10-16,2024-11-27,72.02,96.35,33.78%
17,NRG,2024-02-28,amc,2024-02-29,2024-04-12,55.32,73.93,33.64%
18,AVGO,2024-09-05,amc,2024-09-06,2024-10-18,137.00,179.89,31.31%
19,PODD,2024-08-08,amc,2024-08-09,2024-09-23,182.19,238.97,31.17%
20,IBKR,2024-10-15,amc,2024-10-16,2024-11-27,36.70,47.83,30.33%
21,K,2024-08-01,bmo,2024-08-01,2024-09-13,62.05,80.68,30.02%
22,TER,2024-04-24,amc,2024-04-25,2024-06-07,108.91,140.90,29.37%
23,NEM,2024-02-22,bmo,2024-02-22,2024-04-05,30.89,39.65,28.36%
24,HOOD,2024-08-07,amc,2024-08-08,2024-09-20,17.73,22.73,28.20%
25,GE,2024-01-23,amc,2024-01-24,2024-03-07,103.62,132.79,28.15%
26,SBUX,2024-07-30,amc,2024-07-31,2024-09-12,77.95,99.28,27.36%
27,NVDA,2024-05-22,amc,2024-05-23,2024-07-09,103.80,131.38,26.57%
28,BLDR,2024-08-06,bmo,2024-08-06,2024-09-18,155.73,194.52,24.91%
29,WFC,2024-10-11,bmo,2024-10-11,2024-11-22,60.99,75.96,24.55%
30,TPR,2024-11-07,bmo,2024-11-07,2024-12-20,51.55,64.15,24.44%
31,ANET,2024-05-06,amc,2024-05-07,2024-06-20,68.50,85.05,24.16%
32,PODD,2024-05-09,amc,2024-05-10,2024-06-25,165.90,205.75,24.02%
33,GDDY,2024-10-30,amc,2024-10-31,2024-12-13,166.80,206.78,23.97%
34,FSLR,2024-02-27,amc,2024-02-28,2024-04-11,149.25,184.44,23.58%
35,HOOD,2024-05-08,amc,2024-05-09,2024-06-24,17.30,21.37,23.53%
36,DAL,2024-10-10,amc,2024-10-11,2024-11-22,51.33,63.34,23.40%
37,CEG,2024-02-27,bmo,2024-02-27,2024-04-10,155.76,191.08,22.68%
38,DVN,2024-02-27,amc,2024-02-28,2024-04-11,44.03,53.90,22.42%
39,TPR,2024-08-15,bmo,2024-08-15,2024-09-27,39.20,47.94,22.30%
40,IBKR,2024-01-16,amc,2024-01-17,2024-02-29,22.30,27.18,21.88%
41,GEV,2024-07-24,bmo,2024-07-24,2024-09-05,162.90,198.44,21.82%
42,DVA,2024-08-06,amc,2024-08-07,2024-09-19,133.98,163.14,21.76%
43,TKO,2024-11-06,amc,2024-11-07,2024-12-20,117.90,143.54,21.75%
44,TPL,2024-05-08,amc,2024-05-09,2024-06-24,615.23,747.70,21.53%
45,PSA,2024-07-30,amc,2024-07-31,2024-09-12,295.92,359.12,21.36%
46,EOG,2024-02-22,amc,2024-02-23,2024-04-08,111.86,135.45,21.09%
47,TRGP,2024-02-15,bmo,2024-02-15,2024-04-01,93.27,112.23,20.33%
48,LW,2024-10-01,amc,2024-10-02,2024-11-13,66.58,80.07,20.26%
49,APD,2024-04-30,amc,2024-05-01,2024-06-13,237.49,285.31,20.14%
50,DECK,2024-10-24,amc,2024-10-25,2024-12-09,168.11,201.55,19.89%
51,QCOM,2024-05-01,amc,2024-05-02,2024-06-14,180.10,215.33,19.56%
52,BKNG,2024-08-01,amc,2024-08-02,2024-09-16,3328.13,3979.00,19.56%
53,PLTR,2024-05-06,amc,2024-05-07,2024-06-20,21.40,25.56,19.44%
54,ERIE,2024-07-25,amc,2024-07-26,2024-09-09,421.38,503.19,19.41%
55,SOLV,2024-08-08,bmo,2024-08-08,2024-09-20,58.66,69.95,19.25%
56,XYZ,2024-11-07,bmo,2024-11-07,2024-12-20,75.27,89.65,19.10%
57,SYF,2024-10-16,bmo,2024-10-16,2024-11-27,56.52,67.22,18.93%
58,EQT,2024-10-29,amc,2024-10-30,2024-12-12,38.57,45.86,18.90%
59,CMG,2024-10-29,amc,2024-10-30,2024-12-12,55.73,66.16,18.72%
60,HPE,2024-09-04,amc,2024-09-05,2024-10-17,17.64,20.94,18.71%
61,DASH,2024-02-15,amc,2024-02-16,2024-04-02,116.01,137.50,18.52%
62,LEN,2024-06-17,amc,2024-06-18,2024-08-01,148.72,176.24,18.50%
63,DDOG,2024-11-07,amc,2024-11-08,2024-12-23,124.45,147.46,18.49%
64,QCOM,2024-01-31,amc,2024-02-01,2024-03-15,141.11,167.20,18.49%
65,INCY,2024-04-30,amc,2024-05-01,2024-06-13,52.94,62.69,18.42%
66,FICO,2024-07-31,amc,2024-08-01,2024-09-13,1578.95,1868.96,18.37%
67,APA,2024-02-21,amc,2024-02-22,2024-04-05,30.22,35.74,18.27%
68,APP,2024-02-14,amc,2024-02-15,2024-04-01,58.50,69.14,18.19%
69,AAPL,2024-05-02,amc,2024-05-03,2024-06-17,183.38,216.67,18.15%
70,SMCI,2024-04-30,amc,2024-05-01,2024-06-13,73.83,87.11,17.99%
71,FICO,2024-04-25,amc,2024-04-26,2024-06-10,1110.85,1310.15,17.94%
72,CRWD,2024-08-28,amc,2024-08-29,2024-10-11,271.67,320.21,17.87%
73,LUV,2024-10-24,bmo,2024-10-24,2024-12-06,29.02,34.18,17.78%
74,TKO,2024-02-27,amc,2024-02-28,2024-04-11,82.93,97.66,17.76%
75,SWKS,2024-04-30,amc,2024-05-01,2024-06-13,90.30,106.33,17.75%
76,AMZN,2024-10-31,amc,2024-11-01,2024-12-16,197.93,232.93,17.68%
77,NOW,2024-10-23,amc,2024-10-24,2024-12-06,956.58,1124.34,17.54%
78,NFLX,2024-10-17,amc,2024-10-18,2024-12-02,76.39,89.77,17.52%
79,WBD,2024-08-07,amc,2024-08-08,2024-09-20,7.02,8.24,17.38%
80,LRCX,2024-01-24,bmo,2024-01-24,2024-03-07,84.82,99.46,17.26%
81,IRM,2024-05-02,amc,2024-05-03,2024-06-17,75.32,88.27,17.19%
82,EFX,2024-07-17,bmo,2024-07-17,2024-08-28,259.25,303.62,17.11%
83,AES,2024-02-26,amc,2024-02-27,2024-04-10,15.10,17.68,17.09%
84,RCL,2024-10-29,bmo,2024-10-29,2024-12-11,210.10,245.52,16.86%
85,JCI,2024-05-01,bmo,2024-05-01,2024-06-13,60.47,70.62,16.79%
86,IBKR,2024-04-16,amc,2024-04-17,2024-05-30,27.31,31.89,16.77%
87,HBAN,2024-10-17,bmo,2024-10-17,2024-11-29,15.43,18.01,16.72%
88,GEV,2024-10-23,amc,2024-10-24,2024-12-06,297.00,346.51,16.67%
89,BA,2024-04-24,bmo,2024-04-24,2024-06-06,164.33,191.42,16.49%
90,MPWR,2024-08-01,bmo,2024-08-01,2024-09-13,784.95,914.10,16.45%
91,DXCM,2024-02-08,amc,2024-02-09,2024-03-25,120.47,140.10,16.29%
92,FOX,2024-11-04,bmo,2024-11-04,2024-12-17,39.96,46.47,16.29%
93,UDR,2024-07-30,amc,2024-07-31,2024-09-12,40.07,46.55,16.17%
94,EL,2024-10-31,bmo,2024-10-31,2024-12-13,68.94,80.04,16.10%
95,WSM,2024-08-22,bmo,2024-08-22,2024-10-04,130.50,151.49,16.08%
96,HUBB,2024-01-30,bmo,2024-01-30,2024-03-13,344.31,399.53,16.04%
97,WRB,2024-07-22,amc,2024-07-23,2024-09-04,52.21,60.58,16.03%
98,TRMB,2024-02-12,bmo,2024-02-12,2024-03-26,54.69,63.44,16.00%
99,CRM,2024-05-29,amc,2024-05-30,2024-07-15,218.01,252.86,15.99%
100,RL,2024-08-07,bmo,2024-08-07,2024-09-19,159.39,184.76,15.92%
101,MU,2024-06-26,amc,2024-06-27,2024-08-09,132.23,93.08,-29.61%
102,CVS,2024-11-06,bmo,2024-11-06,2024-12-19,61.61,43.78,-28.94%
103,MRNA,2024-08-01,bmo,2024-08-01,2024-09-13,94.17,68.28,-27.49%
104,BF-B,2024-12-05,bmo,2024-12-05,2025-01-22,45.38,33.03,-27.21%
105,MCHP,2024-11-05,amc,2024-11-06,2024-12-19,73.75,55.99,-24.08%
106,DVN,2024-11-05,amc,2024-11-06,2024-12-19,40.02,30.52,-23.74%
107,ULTA,2024-03-14,amc,2024-03-15,2024-04-29,535.98,410.04,-23.50%
108,COIN,2024-08-01,bmo,2024-08-01,2024-09-13,212.64,163.05,-23.32%
109,APA,2024-07-31,amc,2024-08-01,2024-09-13,31.08,23.94,-22.97%
110,CCL,2024-06-25,bmo,2024-06-25,2024-08-07,17.82,14.01,-21.38%
111,SOLV,2024-05-09,bmo,2024-05-09,2024-06-24,64.83,51.30,-20.87%
112,MPWR,2024-10-30,amc,2024-10-31,2024-12-13,759.30,608.44,-19.87%
113,ALGN,2024-04-24,amc,2024-04-25,2024-06-07,310.50,255.54,-17.70%
114,TPL,2024-11-06,bmo,2024-11-06,2024-12-19,1329.62,1096.33,-17.55%
115,ALB,2024-05-01,amc,2024-05-02,2024-06-14,125.30,103.51,-17.39%
116,LDOS,2024-10-29,bmo,2024-10-29,2024-12-11,185.86,153.55,-17.38%
117,UBER,2024-10-31,bmo,2024-10-31,2024-12-13,72.05,59.93,-16.82%
118,NEM,2024-10-23,amc,2024-10-24,2024-12-06,49.25,41.11,-16.53%
119,CSGP,2024-04-23,amc,2024-04-24,2024-06-06,91.95,77.05,-16.20%
120,BLDR,2024-11-05,bmo,2024-11-05,2024-12-18,180.99,152.03,-16.00%
121,BAX,2024-11-08,bmo,2024-11-08,2024-12-23,34.64,29.18,-15.76%
122,AMGN,2024-10-30,amc,2024-10-31,2024-12-13,320.16,270.62,-15.47%
123,MRNA,2024-11-07,amc,2024-11-08,2024-12-23,46.83,39.59,-15.46%
124,BEN,2024-07-26,bmo,2024-07-26,2024-09-09,23.08,19.55,-15.29%
125,MPC,2024-11-05,amc,2024-11-06,2024-12-19,155.25,131.65,-15.20%
126,PSX,2024-07-30,bmo,2024-07-30,2024-09-11,147.17,125.00,-15.06%
127,CRL,2024-11-06,bmo,2024-11-06,2024-12-19,214.20,182.15,-14.96%
128,SJM,2024-11-26,bmo,2024-11-26,2025-01-13,120.09,102.17,-14.92%
129,WST,2024-04-25,bmo,2024-04-25,2024-06-07,368.18,314.68,-14.53%
130,VLO,2024-07-25,bmo,2024-07-25,2024-09-06,157.00,134.19,-14.53%
131,SLB,2024-07-19,amc,2024-07-22,2024-09-03,49.44,42.29,-14.46%
132,PAYC,2024-05-01,amc,2024-05-02,2024-06-14,166.72,142.78,-14.36%
133,BA,2024-01-31,bmo,2024-01-31,2024-03-14,211.04,181.15,-14.16%
