rank,symbol,earnings_date,time_of_day,from_date,to_date,from_close,to_close,pct_change
1,TRGP,2020-02-20,bmo,2020-02-20,2020-04-02,39.45,6.32,-83.98%
2,NCLH,2020-02-20,bmo,2020-02-20,2020-04-02,48.51,8.40,-82.68%
3,RCL,2020-02-04,bmo,2020-02-04,2020-03-18,118.00,22.33,-81.08%
4,APA,2020-02-26,bmo,2020-02-26,2020-04-08,24.43,7.58,-68.97%
5,OKE,2020-02-24,bmo,2020-02-24,2020-04-06,75.07,23.33,-68.92%
6,DVN,2020-02-18,bmo,2020-02-18,2020-03-31,22.16,6.91,-68.82%
7,FANG,2020-02-18,amc,2020-02-19,2020-04-01,79.29,25.07,-68.38%
8,SPG,2020-02-04,bmo,2020-02-04,2020-03-18,137.29,44.92,-67.28%
9,VTR,2020-02-20,bmo,2020-02-20,2020-04-02,62.40,23.01,-63.13%
10,TDG,2020-02-04,bmo,2020-02-04,2020-03-18,641.27,245.79,-61.67%
11,MGM,2020-02-12,amc,2020-02-13,2020-03-27,31.80,12.19,-61.67%
12,COP,2020-02-04,bmo,2020-02-04,2020-03-18,56.49,22.67,-59.87%
13,BLDR,2020-02-20,amc,2020-02-21,2020-04-03,26.69,10.91,-59.12%
14,TPR,2020-02-06,bmo,2020-02-06,2020-03-20,29.00,12.04,-58.48%
15,MPC,2020-01-29,bmo,2020-01-29,2020-03-12,53.59,22.89,-57.29%
16,PSKY,2020-02-20,bmo,2020-02-20,2020-04-02,29.29,12.76,-56.44%
17,LYB,2020-01-31,bmo,2020-01-31,2020-03-16,77.86,34.90,-55.18%
18,WYNN,2020-02-06,amc,2020-02-07,2020-03-23,126.91,57.57,-54.64%
19,HIG,2020-02-03,amc,2020-02-04,2020-03-18,57.72,26.25,-54.52%
20,SYY,2020-02-03,bmo,2020-02-03,2020-03-17,76.68,35.06,-54.28%
21,EXPE,2020-02-13,amc,2020-02-14,2020-03-30,122.80,56.39,-54.08%
22,PRU,2020-02-04,amc,2020-02-05,2020-03-19,95.64,44.37,-53.61%
23,DOW,2020-01-29,bmo,2020-01-29,2020-03-12,49.67,23.67,-52.35%
24,BA,2020-01-29,bmo,2020-01-29,2020-03-12,322.02,154.84,-51.92%
25,PCG,2020-02-18,amc,2020-02-19,2020-04-01,17.51,8.42,-51.91%
26,OXY,2020-02-27,bmo,2020-02-27,2020-04-09,31.81,15.36,-51.71%
27,APP,2022-08-10,bmo,2022-08-10,2022-09-22,40.46,19.90,-50.82%
28,NXPI,2020-02-03,amc,2020-02-04,2020-03-18,130.51,64.56,-50.53%
29,AIG,2020-02-13,bmo,2020-02-13,2020-03-27,50.93,25.51,-49.91%
30,AFL,2020-02-04,amc,2020-02-05,2020-03-19,53.28,26.90,-49.51%
